Hackathon,Website,Start Date,End Date,City,State
Hack the 6ix 2018,http://hackthe6ix.com/,2018-08-24,2018-08-26,Toronto,ON
HackMTY,http://hackmty.com/,2018-08-25,2018-08-26,Monterrey,MX
ByteHacks,http://bytehacks.org/,2018-09-01,2018-09-02,New York,NY
MedHacks,http://medhacks.org/2018,2018-09-07,2018-09-09,Baltimore,MD
MXHacks,https://mxhacks.io/,2018-09-07,2018-09-09,Mexico City,MX
PennApps,http://2018f.pennapps.com/,2018-09-07,2018-09-09,Philadelphia,PA
HackTheU,http://hacktheu.com/,2018-09-08,2018-09-09,Salt Lake City,UT
HackRice 8,http://hack.rice.edu/,2018-09-14,2018-09-16,Houston,TX
Hack the North,https://hackthenorth.com/,2018-09-14,2018-09-16,Waterloo,ON
SBU Hacks,http://sbuhacks.org/,2018-09-14,2018-09-15,Stony Brook,NY
ShellHacks,https://shellhacks.net/,2018-09-14,2018-09-16,Miami,FL
Hophacks,http://hophacks.com/,2018-09-15,2018-09-17,Baltimore,MD
Lumohacks,http://lumohacks.com/,2018-09-15,2018-09-16,Burnaby,BC
BASEHacks 3.0,http://www.basehacks.org/,2018-09-22,2018-09-23,Fremont,CA
GrizzHacks,http://grizzhacks.com/,2018-09-22,2018-09-23,Rochester,MI
Ram Hacks,http://ramhacks.vcu.edu/,2018-09-22,2018-09-23,Richmond,VA
Volhacks,https://volhacks.org/,2018-09-28,2018-09-30,Knoxville,TN
HackNY,http://hackny.org/hackathon/,2018-09-29,2018-09-30,New York,NY
Mining hack,http://mininghack.tech/,2018-09-29,2018-09-30,Torreón,MX
HackGSU,http://hackgsu.com/,2018-10-05,2018-10-07,Atlanta,GA
HackNC,http://hacknc.com,2018-10-05,2018-10-07,Chapel Hill,NC
Hack This. Help Kids.,http://hackthishelpkids.com,2018-10-05,2018-10-06,Pittsburgh,PA
HackPSU,https://hackpsu.org/,2018-10-06,2018-10-07,State College,PA
HackRU,https://www.hackru.org/,2018-10-06,2018-10-07,New Brunswick,NJ
HackUIowa,http://bigdata.uiowa.edu/,2018-10-06,2018-10-07,Iowa City,IA
HackUTA,http://hackuta.com,2018-10-06,2018-10-07,Arlington,TX
HAkron 3000,http://www.hakron.io/,2018-10-06,2018-10-07,Akron,OH
HackCooper,http://hackcooper.org/,2018-10-12,2018-10-13,New York,NY
HackUMass  ,https://hackumass.com/,2018-10-12,2018-10-14,Amherst,MA
MHacks,https://mhacks.org/,2018-10-12,2018-10-14,Ann Arbor,MI
PatriotHacks,http://patriothacks.org/,2018-10-12,2018-10-14,Fairfax,VA
SD Hacks,http://www.sdhacks.io/,2018-10-12,2018-10-14,La Jolla,CA
TigerHacks,http://tigerhacks.missouri.edu/,2018-10-12,2018-10-14,Columbia,MO
EastHacks,https://www.easthacks.us/,2018-10-13,2018-10-14,Cherry Hill,NJ
HackDuke,http://hackduke.org/,2018-10-13,2018-10-14,Durham,NC
